Name,Line,Sentiment,Irony
Harry Potter,The Carrows?,0.0,[ 1.7621508 -0.795617 ]
Neville Longbottom,"Brother and sister. They're in charge of discipline. Like punishment, the Carrows.",0.0,[0.5178839 0.2994768]
Hermione Granger,They did that to you? But why?,0.0,[ 1.811705  -0.9616637]
Neville Longbottom,Today's Dark Arts lesson had us practicing the Cruciatus Curse. On First Years. I refused. Hogwarts has changed.,0.05,[ 1.0557616  -0.49745062]
Neville Longbottom,"Aw, c'mon. Don't be grim. We're all used to it by now. And the thing is, it helps when people stand up, gives everyone hope. I used to notice that when you did it, Harry. C'mon, we're almost there.",-1.0,[ 1.2228532  -0.49003178]
Neville Longbottom,"Let's have a bit of fun, shall we?  Hey! Listen up, you lot! I've brought you a surprise!",0.5859375,[-0.7242777  1.0575609]
Seamus Finnigan,Blimey.,0.0,[0.6692044  0.01702983]
Neville Longbottom,Get the word out to Remus and the others that Harry's back.,0.0,[0.22567971 0.33190462]
Nigel Wolpert,"River, DA calling. Do you read? We have a new weather report: Lightning has struck. I repeat, lightning has struck...",0.1363636363636363,[ 1.4705726 -0.6166261]
Neville Longbottom,"Okay, okay! Stand down! lLet's not kill them before You-Know-Who gets the chance!",0.2939814814814814,[ 1.3543711 -0.6946351]
Harry Potter,"Okay. There's something we need to find, something hidden here in the castle. It could help us defeat You-Know-Who.",0.1666666666666666,[ 1.8605659 -1.0425572]
Neville Longbottom,What is it?,0.0,[ 2.3177986 -1.2638291]
Harry Potter,We don't know.,0.0,[ 0.8909811  -0.24977973]
Dean Thomas,Where is it?,0.0,[ 2.299449  -1.3155113]
Harry Potter,I realize it's not much to go on.,-0.1,[ 1.5566685  -0.65327317]
Seamus Finnigan,That's nothing to go on.,0.0,[ 1.373821   -0.58956075]
Harry Potter,"I think it might have something to do with Ravenclaw. It would be small, easy to conceal, valuable. Any ideas?",0.0916666666666666,[ 2.1125898 -1.4133838]
Luna Lovegood,"Well, there's Rowena Ravenclaw's lost diadem.",0.0,[0.3526672  0.11517728]
Luna Lovegood,The lost diadem of Ravenclaw? Hasn't anyone ever heard of it? It's quite famous.,0.5,[ 1.2098073 -0.6355035]
Cho Chang,"Yes, but Luna, it's lost. For centuries now. There's not a person alive today who's seen it.",0.1,[ 1.592299   -0.93428606]
Ron Weasley,Excuse me. But would someone tell me: what's a bloody diadem?,-0.425,[ 1.655685  -1.0083454]
Cho Chang,"It's a kind of crown. You know, like a tiara.",0.6,[ 1.3671687  -0.48380443]
Cho Chang,"Ravenclaw's was rumored to have magical properties, to enhance the wisdom of the wearer.",0.5,[ 0.6862288  -0.16477627]
Ginny Weasley,Harry.,0.0,[ 1.0522904 -0.3069954]
Harry Potter,"Hey there. Ron smiles, about to speak, then notices Ginny's eyes have not left Harry. He frowns, speaks to Hermione.",0.0,[ 0.9142958  -0.37082103]
Ron Weasley,"Six months she hasn't seen me and it's like I'm Frankie First Year. I mean, I'm only her brother.",-0.0208333333333333,[ 0.8095409  -0.13533978]
